PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
4857,WALNUT HILLS EXTENDED DAY PROGRAM,School-Age Child Care Center,8195 E Costilla BLVD,Centennial,CO,80112,Arapahoe,Southwest Arapahoe,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.896211,39.590479, , , ,100,2,2,9/30/2019 0:00,4,1,579,9/30/2019 0:00,3,1,20180630
4887,MISS CATHERINES CREATIVE LEARNING CTR,Child Care Center,6525 Gunpark DR  340,Boulder,CO,80301,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.201102,40.070746,11/1/2017 0:00,11/1/2022 0:00,Level 4,100,6,6,6/11/2018 0:00,7,1,4483, , , ,20180630
4958,TAMMARA GOODMAN,Family Child Care Home,3538 Cascade CT,Broomfield,CO,80020,Broomfield,Broomfield,Northglenn-Thornton School District 12,Broomfield Early Childhood Council,Child Care Innovations,-105.031442,39.94006,1/19/2016 0:00,1/19/2019 0:00,Level 2,6, , , , , ,   , , , ,20180630
5178,LISSA HETRICK,Family Child Care Home,3823 S Malta ST,Aurora,CO,80013,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.742626,39.646791,3/29/2016 0:00,3/29/2019 0:00,Level 2,6, , , , , ,   , , , ,20180630
5358,TESS WERNER,Large Family Child Care Home,1141 Ridge St.,Montrose,CO,81401,Montrose,Montrose,Montrose County School District RE-1J,Bright Futures,Bright Futures,-107.8588,38.4783,6/30/2017 0:00,6/30/2020 0:00,Level 4,12,12,7,6/30/2018 0:00,12,1,8091,6/30/2019 0:00,13,1,20180630
5411,THE VILLAGE FOR EARLY CHILDHOOD EDUCATION,Child Care Center,1907 W Powers AVE,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,Littleton School District 6,Arapahoe County Early Childhood Council,Child Care Innovations,-105.010696,39.616034,1/1/2015 0:00,12/31/2020 0:00,Level 4,240,4,3,5/31/2020 0:00,5,1,1704,5/31/2020 0:00,3,1,20180630
5413,YUMA COUNTY HEAD START,Child Care Center,30204 CR 35,Wray,CO,80758,Yuma,Wray,Wray School District RD-2,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",-102.246643,40.07538,1/1/2015 0:00,12/31/2020 0:00,Level 4,23, , , , , ,   , , , ,20180630
5420,DPS DISCOVERY LINK @ CENTENNIAL,School-Age Child Care Center,4665 Raleigh ST,Denver,CO,80212,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.042595,39.781298, , , ,100,3,2,10/31/2019 0:00,4,1,358,10/31/2019 0:00,4,1,20180630
5422,DPS DISCOVERY LINK @ EDISON,School-Age Child Care Center,3350 Quitman ST,Denver,CO,80212,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.039907,39.764871, , , ,100, , ,10/31/2019 0:00,0,1,   ,10/31/2019 0:00,0,1,20180630
5424,TOTALLY KIDS AFTER SCHOOL PROGRAM,School-Age Child Care Center,3RD and Breeze Base,Hayden,CO,81639,Routt,Hayden,Hayden School District RE-1,First Impressions of Routt County,Summit Co CCR&R,-107.263791,40.491702, , , ,50, , , , , ,   , , , ,20180630
5430,ADVANTAGE LEARNING CENTER,Child Care Center,155 Van Gordon ST,Lakewood,CO,80228,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.138238,39.716102,9/2/2014 0:00,9/1/2019 0:00,Level 4,92, , , , , ,   , , , ,20180630
5431,COMMUNITY MONTESSORI OF BOULDER VALLEY,Child Care Center,805 Gillaspie DR,Boulder,CO,80305,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.252384,39.981062,2/1/2017 0:00,2/1/2020 0:00,Level 4,140,2,2,6/30/2019 0:00,4,1,518,6/30/2019 0:00,3,1,20180630
5546,KIM PRESCHOOL,Preschool Program,425 State,Kim,CO,81049,Las Animas,Kim,Kim Reorganized School District 88,HuLA Early Childhood Council,Childrens First,-103.35333,37.24696, , ,Level 1,15, , , , , ,   , , , ,20180630
5763,ROXANE MARSHALL-CRISWELL,Experienced Family Child Care Home,2755 Edmanston WAY,Castle Rock,CO,80109,Douglas,Castle Rock,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.910089,39.392221,8/25/2015 0:00,8/25/2018 0:00,Level 2,9, , , , , ,   , , , ,20180630
5874,JEANNE MORGAN,Experienced Family Child Care Home,8212 Ammons CIR,Arvada,CO,80005,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.087507,39.845853, , ,Level 1,8, , , , , ,   , , , ,20180630
5880,SHEA GRAFF,Large Family Child Care Home,121 Eldridge ST,Burlington,CO,80807,Kit Carson,Burlington,Burlington School District RE-6J,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",-102.28671,39.301727,2/21/2017 0:00,2/21/2020 0:00,Level 2,12, , , , , ,   , , , ,20180630
5949,PRAIRIE PRESCHOOL,Preschool Program,42315 Weld County Road 133,New Raymer,CO,80742,Weld,Raymer,Prairie School District RE-11,Promises for Children,Promises for Children,-103.80181,40.613645, , ,Level 1,15, , , , , ,   , , , ,20180630
6006,BVSD COMMUNITY MONTESSORI SAC,School-Age Child Care Center,805 Gillaspie DR,Boulder,CO,80305,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.252384,39.981062, , , ,50,2,1,8/31/2019 0:00,3,1,980,8/31/2019 0:00,0,1,20180630
6007,WIDEFIELD PARKS AND RECREATION EARLY CHILDHOO,Preschool Program,705 Aspen DR,Colorado Springs,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.730332,38.752168, , ,Level 1,52, , , , , ,   , , , ,20180630
6356,LITTLE INDIANS PRESCHOOL,Preschool Program,709 W 3rd AVE,Yuma,CO,80759,Yuma,Yuma,Yuma School District 1,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",-102.732097,40.123354, , ,Level 1,45, , , , , ,   , , , ,20180630
6405,AMY STOCKTON,Experienced Family Child Care Home,3107 Conestoga CT,Fort Collins,CO,80526,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.095683,40.545696,2/27/2017 0:00,2/27/2020 0:00,Level 2,9, , , , , ,   , , , ,20180630
6427,NANETTE MILLAGE,Experienced Family Child Care Home,2926 Mt Royal CT,Fort Collins,CO,80526,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.131476,40.553351, , ,Level 1,9, , , , , ,   , , , ,20180630
6437,CATHOLIC CHARITIES ECE AT CDC,Child Care Center,1155 Decatur ST,Denver,CO,80204,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.02259,39.73517,1/1/2015 0:00,12/31/2020 0:00,Level 4,123,50,33,10/31/2019 0:00,53,1,24737,10/31/2019 0:00,63,1,20180630
6443,DONNA WELBORN,Family Child Care Home,322 W Orman AVE,Pueblo,CO,81004,Pueblo,Pueblo,Pueblo City School District 60,Pueblo Early Childhood Council,Childrens First,-104.631038,38.257099, , ,Level 1,6, , , , , ,   , , , ,20180630
6565,SUMMIT PALS PRESCHOOL,Child Care Center,490 Meadow Park DR,Divide,CO,80814,Teller,Divide,Woodland Park School District RE-2,Teller/Park Early Childhood Council,Alliance for Kids,-105.145772,38.957014,1/31/2017 0:00,1/31/2020 0:00,Level 4,40,3,3,12/31/2019 0:00,3,1,551,12/31/2019 0:00,2,1,20180630
6681,JOYCE ESPINOZA,Experienced Family Child Care Home,12270 Locust ST,Brighton,CO,80602,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.912659,39.918856, , ,Level 1,9, , , , , ,   , , , ,20180630
6722,PATSY FELDER,Family Child Care Home,3154 High ST,Denver,CO,80205,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.964379,39.761743,4/4/2018 0:00,4/4/2021 0:00,Level 2,6,14,8,4/30/2019 0:00,15,1,6129,6/30/2019 0:00,13,1,20180630
6803,CYNTHIA GOLDSWORTHY,Family Child Care Home,2506 Clark ST,Alamosa,CO,81101,Alamosa,Alamosa,Alamosa School District RE-11J,Early Childhood Council of the San Luis Valley,ECC SLV,-105.890053,37.480155, , ,Level 1,6, , , , , ,   , , , ,20180630
6804,PRISCILLA SORENCY,Family Child Care Home,5281 Water Dipper,Colorado Springs,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.729402,38.76683, , ,Level 1,6, , , , , ,   , , , ,20180630
7019,PINE GROVE ELEMENTARY BEFORE AND AFTER,School-Age Child Care Center,10450 Stonegate Parkway,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.806794,39.527701, , , ,100,1,1,6/30/2018 0:00,1,1,204,6/30/2018 0:00,1,1,20180630
7075,CHANDRA HANDELAND,Experienced Family Child Care Home,360 Lincoln,Canon City,CO,81212,Fremont,Cañon City,Cañon City School District RE-1,ECHO and Family Center Early Childhood Council,Childrens First,-105.18558,38.437262,10/22/2015 0:00,10/22/2018 0:00,Level 2,9, , , , , ,   , , , ,20180630
7199,REBA HERMANN,Three under Two Family Child Care Home,118 Emerald ST,Broomfield,CO,80020,Broomfield,Broomfield,Boulder Valley School District RE-2,Broomfield Early Childhood Council,Child Care Innovations,-105.076971,39.916722,1/22/2016 0:00,1/22/2019 0:00,Level 2,6, , , , , ,   , , , ,20180630
7292,HUTCHINSON BEFORE AND AFTER SCHOOL,School-Age Child Care Center,12900 W Utah AVE,Lakewood,CO,80228,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.145569,39.681534, , , ,70,1,1,10/31/2019 0:00,1,1, $-   ,10/31/2019 0:00,1,1,20180630
7294,KINDERCARE LEARNING CENTERS LLC,Child Care Center,7395 Church Ranch BLVD,Westminster,CO,80021,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.077295,39.881371,9/3/2015 0:00,9/1/2020 0:00,Level 4,162,38,25,10/31/2020 0:00,47,1,22819,10/31/2020 0:00,49,1,20180630
7300,LAURIE BEAN,Experienced Family Child Care Home,7903 Pheasant Run LN,Wellington,CO,80549,Larimer,Timnath-Wellington,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-104.99654,40.7008,11/11/2016 0:00,11/11/2019 0:00,Level 2,9, , ,12/31/2018 0:00,0,1,   ,12/31/2018 0:00,0,1,20180630
7366,JENNIFER MACE,Family Child Care Home,13772 W Tufts AVE,Morrison,CO,80465,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.153194,39.633259, , ,Level 1,6, , , , , ,   , , , ,20180630
7398,NICOLE CONRAD,Experienced Family Child Care Home,0111 Rosewood WAY,Parachute,CO,81635,Garfield,West Garfield,Garfield County School District 16,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-108.036826,39.431014,10/29/2015 0:00,10/29/2018 0:00,Level 2,9, , ,5/31/2018 0:00,0,1,   ,7/31/2018 0:00,1,1,20180630
7487,ST PETER AND PAUL,Child Care Center,3920 Pierce ST,Wheat Ridge,CO,80033,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.07199,39.770864,3/7/2018 0:00,3/7/2021 0:00,Level 2,50, , , , , ,   ,10/31/2021 0:00,0,1,20180630
7490,BVSD KINDERGARTEN ENRICHMENT @ CRESTVIEW ELEM,School-Age Child Care Center,1897 Sumac,Boulder,CO,80304,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.274225,40.05119, , , ,50,4,4,8/31/2019 0:00,4,1,1566,8/31/2019 0:00,1,1,20180630
7491,PEAKVIEW ADVENTURE CLUB,School-Age Child Care Center,19451 E Progress CIR,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.762578,39.62299, , , ,120, , ,8/31/2020 0:00,0,1,   ,8/31/2020 0:00,0,1,20180630
7544,BVSD KINDERGARTEN ENRICHMENT @ HEATHERWOOD,School-Age Child Care Center,7750 Concord DR,Boulder,CO,80301,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.17239,40.057476, , , ,30, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,0,1,20180630
7545,BVSD KINDERGARTEN ENRICHMENT @ RYAN,School-Age Child Care Center,1405 Centaur PL,Lafayette,CO,80026,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.11093,39.983228, , , ,37,1,1,8/31/2019 0:00,1,1,355,8/31/2019 0:00,0,1,20180630
7546,BVSD KINDERGARTEN ENRICHMENT @ LAFAYETTE ELEM,School-Age Child Care Center,101 N Bermont AVE,Lafayette,CO,80026,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.095779,39.998738, , , ,68,1,1,10/31/2019 0:00,1,1,274,10/31/2019 0:00,0,1,20180630
7569,LA PETITE ACADEMY,Child Care Center,380 S McCaslin,Louisville,CO,80027,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.163243,39.965498,9/26/2017 0:00,9/26/2020 0:00,Level 2,173,32,20,10/31/2020 0:00,31,1,12209,10/31/2020 0:00,32,1,20180630
7657,CANON CITY KIDS KLUB BEFORE & AFTER,School-Age Child Care Center,1240 McKinley AVE,Canon City,CO,81212,Fremont,Cañon City,Cañon City School District RE-1,ECHO and Family Center Early Childhood Council,Childrens First,-105.21437,38.431569, , , ,50,6,5,9/30/2018 0:00,6,1,471,9/30/2018 0:00,0,1,20180630
8025,DPS ECE STECK ELEMENTARY,Child Care Center,425 Ash,Denver,CO,80220,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.938294,39.723423,1/31/2017 0:00,1/31/2020 0:00,Level 4,20, , , , , ,   , , , ,20180630
8026,DPS ECE TELLER ELEMENTARY SCHOOL,Child Care Center,1150 Garfield ST,Denver,CO,80206,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.943428,39.734377,1/31/2017 0:00,1/31/2020 0:00,Level 4,40, , , , , ,   , , , ,20180630
8154,HOLLY DURAND,Family Child Care Home,5731 W 114th PL,Westminster,CO,80020,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.060105,39.90403, , ,Level 1,6, , , , , ,   , , , ,20180630
8155,SANDRA REEVES,Large Family Child Care Home,6565 Omaha BLVD,Colorado Springs,CO,80915,El Paso,Elsmere,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.704816,38.853351, , ,Level 1,12, , , , , ,   , , , ,20180630
8273,HEATHER MILLER,Three under Two Family Child Care Home,4302 W 30th ST,Greeley,CO,80634,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.751461,40.388082, , ,Level 1,6, , , , , ,   , , , ,20180630
8303,DOLORES THOMPSON SMALL,Family Child Care Home,3294 Marshall,Wheatridge,CO,80033,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.068037,39.763833, , ,Level 1,6,4,3,9/30/2019 0:00,4,1,1816,9/30/2019 0:00,4,1,20180630
8397,LIBERTY DAY CARE CENTER,Child Care Center,9332 Highway 36,Joes,CO,80822,Yuma,Idalia-Joes,Liberty School District J-4,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",-102.624486,39.655996,4/30/2016 0:00,4/30/2019 0:00,Level 4,15, , ,11/30/2020 0:00,0,1,   ,11/30/2020 0:00,0,1,20180630
8431,LEROY DRIVE ELEMENTARY'S BASE PROGRMS,School-Age Child Care Center,1451 Leroy DR,Northglenn,CO,80233,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.968857,39.889627, , , ,100,4,3,12/31/2019 0:00,5,1,550,12/31/2019 0:00,3,1,20180630
8592,RACHELLE HUSCHKA,Family Child Care Home,317 E 9th ST,Salida,CO,81201,Chaffee,Salida,Salida School District R-32,Chaffee County Early Childhood Council,Childrens First,-105.995664,38.528013, , ,Level 1,6, , ,3/31/2019 0:00,0,1,   ,3/31/2019 0:00,0,1,20180630
8755,MESA VIEW HEAD START,Child Care Center,1320 E Empire,Cortez,CO,81321,Montezuma,Cortez,Montezuma-Cortez School District RE-1,Montelores Early Childhood Council,ECC La Plata Co,-108.568624,37.356418,1/1/2015 0:00,12/31/2020 0:00,Level 4,51,4,3,10/31/2019 0:00,4,1,236,10/31/2019 0:00,5,1,20180630
8790,JUDY SMITH,Experienced Family Child Care Home,3487 E 112th PL,Thornton,CO,80233,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.946084,39.900121, , ,Level 1,9, , , , , ,   , , , ,20180630
8916,CLAUDIA SUNDERLAND,Experienced Family Child Care Home,1057 Ursula ST,Aurora,CO,80011,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.838011,39.732745,10/31/2016 0:00,10/31/2019 0:00,Level 4,9, , ,2/28/2019 0:00,0,1,   ,2/28/2019 0:00,0,1,20180630
8987,BETH EDEN BAPTIST SCHOOL AGE CHILDCARE,School-Age Child Care Center,2600 Wadsworth BLVD,Wheat Ridge,CO,80033,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.080367,39.755276, , , ,30, , , , , ,   , , , ,20180630
9113,WEST WOODS SCHOOL AGE ENRICHMENT,School-Age Child Care Center,16650 W 72nd AVE,Arvada,CO,80007,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.186888,39.826173, , , ,100, , ,5/31/2019 0:00,0,1,   ,5/31/2019 0:00,0,1,20180630
9248,MYRNA GREENWELL,Family Child Care Home,3420 Post Oak,Colorado Springs,CO,80916,El Paso,Colorado Springs,Harrison School District 2,Alliance for Kids,Alliance for Kids,-104.741358,38.782577, , ,Level 1,6, , , , , ,   , , , ,20180630
9298,COMMERCE CITY RECREATION SUMMER PROGRAM,School-Age Child Care Center,6060 Parkway DR,Commerce City,CO,80022,Adams,Commerce City,Adams County School District 14,Early Childhood Partnership of Adams County,Child Care Innovations,-104.928386,39.806809, , , ,110, , ,10/31/2019 0:00,0,1,   ,10/31/2019 0:00,1,1,20180630
9388,LORI BURNS,Family Child Care Home,4734 S Fraser ST,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.811679,39.630549,11/3/2015 0:00,11/3/2018 0:00,Level 2,6, , , , , ,   , , , ,20180630
9391,PATRICIA PERKINS,Experienced Family Child Care Home,1703 Dunkirk CT,Aurora,CO,80011,Adams,North Aurora,Adams-Arapahoe School District 28J,Early Childhood Partnership of Adams County,Child Care Innovations,-104.76273,39.744257,6/16/2016 0:00,6/16/2019 0:00,Level 2,8,1,1,8/31/2020 0:00,1,1,351,8/31/2020 0:00,1,1,20180630
9484,First United Methodist Coop Preschool,Preschool Program,1005 Stover,Fort Collins,CO,80524,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.067268,40.573203, , ,Level 1,100, , , , , ,   , , , ,20180630
9485,EAGLE RIDGE ELEMENTARY BEFORE & AFTER,School-Age Child Care Center,7716 Timberline RD,Lone Tree,CO,80124,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.900244,39.547282, , , ,90, , ,6/30/2018 0:00,1,1,   ,6/30/2018 0:00,1,1,20180630
9489,LIL TYKES,Child Care Center,2178 Crestview DR,Durango,CO,81301,La Plata,Durango,Durango School District 9-R,Early Childhood Council of La Plata County,ECC La Plata Co,-107.882975,37.287935, , ,Level 1,15, , , , , ,   , , , ,20180630
9571,CITY OF WESTMINSTER YOUTH / TEEN CAMPS,School-Age Child Care Center,10470 Oak ST,Westminster,CO,80021,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.118355,39.886388, , , ,100, , ,4/30/2020 0:00,0,1,   ,4/30/2020 0:00,1,1,20180630
