PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
1560324,80033,Infant/Toddler Facility,"[39.764903000000004, -105.13861000000001]"
1560516,80015,Preschool Facility,"[39.618789, -104.73609300000001]"
1560521,80437,School-Age Facility,"[39.684687, -105.363198]"
1560796,80134,FCC/DC/CCC,"[39.531005, -104.802493]"
1561174,80013,School-Age Facility,"[39.667615000000005, -104.804906]"
1561223,80127,FCC/DC/CCC,"[39.591853, -105.1124]"
1561274,80109,Infant/Toddler Facility,"[39.387648999999996, -104.88282199999999]"
1561405,81501,School-Age Facility,"[39.086158000000005, -108.54514499999999]"
1561484,80501,FCC/DC/CCC,"[40.170364, -105.10546200000002]"
1561494,80124,FCC/DC/CCC,"[39.536038, -104.901794]"
1561500,80909,Preschool Facility,"[38.867258, -104.784086]"
1561558,80220,FCC/DC/CCC,"[39.739578, -104.920892]"
